sfnm,addr,facilities,tel
보호수 주변 편익시설 설치사업,인천광역시 강화군 송해면 신당리 575-1,야외운동기구4개,
보호수 주변 편익시설 설치사업,인천광역시 강화군 하점면 부근리 515-8,야외운동기구4개,
보호수 주변 편익시설 설치사업,인천광역시 강화군 하점면 신삼리 243,야외운동기구3개,
보호수 주변 편익시설 설치사업,인천광역시 강화군 내가면 오상3리 120-1,야외운동기구5개,
누촌마을앞 공터 쉼터,인천광역시 강화군 양도면 인산리 1289-2 ,야외운동기구3개,
성결교회앞 공터 쉼터,인천광역시 강화군 강화읍 남산리 174-6 ,야외운동기구3개,
강화읍 감곳리 84-2,인천광역시 강화군 강화읍 갑곳리 84-2,야외운동기구6개,
관청1쉼터(강중뒤),인천광역시 강화군 강화읍 관청리 34-7,야외운동기구,
대촌공원,인천광역시 부평구 부개동 502-16,"농구장1면,배드민턴장2면,야외운동기구10점",
원적산공원,인천광역시 부평구 청천동 산27-2,"축구장1면,농구장1면,족구장2면,배드민턴장4면",
원적산체육공원,인천광역시 부평구 산곡동 179-140,"농구장1면,배드민턴장2면,족구장2면,테니스장3면,야외운동기구24점",
원적산체육공원,인천광역시 부평구 산곡동 179-140,"농구장1면,배드민턴장2면,족구장2면,테니스장3면,야외운동기구24점",
희망체육공원,인천광역시 부평구 부평동 768-320,"배드민턴장2면,족구장1면,농구장1면,조깅트랙240m,게이트볼장1면,야외운동기구17점",
구월공원,인천광역시 남동구 구월2동 1246,"게이트볼장,농구장,운동장,축구장",032-453-2850
구월공원,인천광역시 남동구 구월2동 1246,"게이트볼장,농구장,운동장,축구장",032-453-2850
구월공원,인천광역시 남동구 구월2동 1246,"게이트볼장,농구장,운동장,축구장",032-453-2850
구월공원,인천광역시 남동구 구월2동 1246,"게이트볼장,농구장,운동장,축구장",032-453-2850
만수천공원,인천광역시 남동구 만수동 929,"배드민턴장,야외운동기구",032-453-2850
작은구월공원,인천광역시 남동구 구월동 1281-8,"배드민턴장,야외운동기구",032-453-2850
인수공원,인천광역시 남동구 만수4동 69,소운동장,032-453-2850
이화공원,인천광역시 남동구 간석동 439,"배드민턴장,다목적구장,농구장",032-453-2850
이화공원,인천광역시 남동구 간석동 439,"배드민턴장,다목적구장,농구장",032-453-2850
둥지공원,인천광역시 남동구 만수4동 28,소운동장,032-453-2850
남동공단공원,인천광역시 남동구 논현동 445,"농구장,축구장,테니스장",032-453-2850
남동공단공원,인천광역시 남동구 논현동 445,"농구장,축구장,테니스장",032-453-2850
승기공원,인천광역시 남동구 남촌동 605일원,"축구장,테니스장,농구장",032-453-2850
유수지공원,인천광역시 남동구 고잔동 697-1,"운동장,야외운동기구",032-453-2850
유수지공원,인천광역시 남동구 고잔동 697-1,"운동장,야외운동기구",032-453-2850
복지공원,인천광역시 남동구 고잔동721-1,농구장,032-453-2850
지상공원,인천광역시 남동구 구월동 1341-9,"농구장,야외운동기구",032-453-2850
반월공원,인천광역시 남동구 구월동 1390,"농구장,야외운동기구",032-453-2850
구월문화공원,인천광역시 남동구 구월동 1350,농구장,032-453-2850
새골공원,인천광역시 남동구 만수동 1005-1,"농구장,야외운동기구",032-453-2850
골마루공원,인천광역시 남동구 만수6동 1049-1,"배드민턴장,족구장,농구장,운동장,테니스장,풋살장",032-453-2850
골마루공원,인천광역시 남동구 만수6동 1049-1,"배드민턴장,족구장,농구장,운동장,테니스장,풋살장",032-453-2850
골마루공원,인천광역시 남동구 만수6동 1049-1,"배드민턴장,족구장,농구장,운동장,테니스장,풋살장",032-453-2850
골마루공원,인천광역시 남동구 만수6동 1049-1,"배드민턴장,족구장,농구장,운동장,테니스장,풋살장",032-453-2850
골마루공원,인천광역시 남동구 만수6동 1049-1,"배드민턴장,족구장,농구장,운동장,테니스장,풋살장",032-453-2850
창대공원,인천광역시 남동구 만수동 1083-1,"소운동장,야외운동기구",032-453-2850
장자공원,인천광역시 남동구 장수동 766-2,"농구장,풋살장",032-453-2850
새진매공원,인천광역시 남동구 논현동 555,"배드민턴장,야외운동기구",032-453-2850
주적공원,인천광역시 남동구 도림동 637-2,배드민턴장,032-453-2850
오봉공원,인천광역시 남동구 도림동 631,"농구장,배드민턴장,야외운동기구",032-453-2850
서창공원,인천광역시 남동구 서창동 558-1일원,"농구장,배드민턴장",032-453-2850
푸른솔공원,인천광역시 남동구 논현동 642-3,배드민턴장(족구장겸용),032-453-2850
갯마을공원,인천광역시 남동구 논현동 664-3,"배드민턴장,야외운동기구",032-453-2850
논현포대공원,"인천광역시 남동구 논현동 578-1,648-1,644-1","게이트볼장,농구장,배드민턴장,테니스장,다목적운동장,X-게임장",032-453-2850
논현포대공원,"인천광역시 남동구 논현동 578-1,648-1,644-1","게이트볼장,농구장,배드민턴장,테니스장,다목적운동장,X-게임장",032-453-2850
논현포대공원,"인천광역시 남동구 논현동 578-1,648-1,644-1","게이트볼장,농구장,배드민턴장,테니스장,다목적운동장,X-게임장",032-453-2850
논현포대공원,"인천광역시 남동구 논현동 578-1,648-1,644-1","게이트볼장,농구장,배드민턴장,테니스장,다목적운동장,X-게임장",032-453-2850
논현중앙공원,"인천광역시 남동구 논현동 594-24, 605-13,611-7",배드민턴장,032-453-2850
도림산공원,인천광역시 남동구 도림동 674-1,"야외운동기구,배드민턴장",032-453-2850
도림산공원,인천광역시 남동구 도림동 674-1,"야외운동기구,배드민턴장",032-453-2850
돌골공원,인천광역시 남동구 만수동822-31,"배드민턴장,야외운동기구",032-453-2850
돌섬공원,인천광역시 남동구 논현동 749-5,배드민턴장,032-453-2850
늘솔길공원,인천광역시 남동구 논현동 738-8 일원,"골프연습장,농구장,테니스장,축구장",032-453-2850
늘솔길공원,인천광역시 남동구 논현동 738-8 일원,"골프연습장,농구장,테니스장,축구장",032-453-2850
늘솔길공원,인천광역시 남동구 논현동 738-8 일원,"골프연습장,농구장,테니스장,축구장",032-453-2850
한아름공원,인천광역시 남동구 논현동 756-5 일원,"배드민턴장,게이트볼장",032-453-2850
한아름공원,인천광역시 남동구 논현동 756-5 일원,"배드민턴장,게이트볼장",032-453-2850
해오름공원,인천광역시 남동구 논현동 763-2 일원,"야외운동기구,산책로,자전거도로",032-453-2850
장아산공원,인천광역시 남동구 서창동 산29-42일원,"풋살장,야외운동기구",032-453-2850
어울공원,인천광역시 남동구 서창동 681,"배드민턴장,온몸근육풀기,허리돌리기,파도타기",032-453-2850
물빛공원,인천광역시 남동구 서창동 713,"족구장,농구장",032-453-2850
물빛공원,인천광역시 남동구 서창동 713,"족구장,농구장",032-453-2850
주적체육공원,인천광역시 남동구 남동구 도림동 413-1일원,"야구장,배드민턴장,테니스장,농구장",032-453-2850
주적체육공원,인천광역시 남동구 남동구 도림동 413-1일원,"야구장,배드민턴장,테니스장,농구장",032-453-2850
주적체육공원,인천광역시 남동구 남동구 도림동 413-1일원,"야구장,배드민턴장,테니스장,농구장",032-453-2850
전재울공원,인천광역시 남동구 구월1동 1501,"배드민턴장,족구장",032-453-2850
전재울공원,인천광역시 남동구 구월1동 1501,"배드민턴장,족구장",032-453-2850
자유공원,인천광역시 중구 송학동 1가 11-1,"배드민턴장,게이트볼장",032-760-7584
율목공원,인천광역시 중구 율목동 244-1,"농구장,인라인스케이트장",032-760-7584
영마루공원,인천광역시 중구 운서동 2709-1,"풋살장,축구장,농구장,트랙,배드민턴장,게이트볼장",032-760-7778
영마루공원,인천광역시 중구 운서동 2709-1,"풋살장,축구장,농구장,트랙,배드민턴장,게이트볼장",032-760-7778
파크골프공원,인천광역시 중구 중산동 1878-2,파크골프장,032-760-7778
새부리공원,인천광역시 중구 운남동 1681-3 일원,배드민턴장,032-760-7778
하늘체육공원,인천광역시 중구 중산동 1878-3 일원,"축구장,풋살장,농구장,트랙,배드민턴장",032-760-7778
하늘체육공원,인천광역시 중구 중산동 1878-3 일원,"축구장,풋살장,농구장,트랙,배드민턴장",032-760-7778
하늘체육공원,인천광역시 중구 중산동 1878-3 일원,"축구장,풋살장,농구장,트랙,배드민턴장",032-760-7778
하늘체육공원,인천광역시 중구 중산동 1878-3 일원,"축구장,풋살장,농구장,트랙,배드민턴장",032-760-7778
1호,인천광역시 중구 운북동 2-1잡 일원,"풋살장,인라인장(X-게임장),농구장",032-760-7778
1호,인천광역시 중구 운북동 2-1잡 일원,"풋살장,인라인장(X-게임장),농구장",032-760-7778
2호,인천광역시 중구 운북동 194-4과 일원,"농구장,배드민턴장,야외운동기구",032-760-7778
2호,인천광역시 중구 운북동 194-4과 일원,"농구장,배드민턴장,야외운동기구",032-760-7778
8호,인천광역시 중구 운북동 산90-4임 일원,"농구장,배드민턴장",032-760-7778
8호,인천광역시 중구 운북동 산90-4임 일원,"농구장,배드민턴장",032-760-7778
만수천공원,인천광역시 남동구 만수동 929,"배드민턴장,야외운동기구",032-453-2850
작은구월공원,인천광역시 남동구 구월동 1281-8,"배드민턴장,야외운동기구",032-453-2850
승기공원,인천광역시 남동구 남촌동 605일원,"축구장,테니스장,농구장",032-453-2850
골마루공원,인천광역시 남동구 만수6동 1049-1,"배드민턴장,족구장,농구장,운동장,테니스장,풋살장",032-453-2850
창대공원,인천광역시 남동구 만수동 1083-1,"소운동장,야외운동기구",032-453-2850
새진매공원,인천광역시 남동구 논현동 555,"배드민턴장,야외운동기구",032-453-2850
오봉공원,인천광역시 남동구 도림동 631,"농구장,배드민턴장,야외운동기구",032-453-2850
갯마을공원,인천광역시 남동구 논현동 664-3,"배드민턴장,야외운동기구",032-453-2850
논현포대공원,"인천광역시 남동구 논현동 578-1,648-1,644-1","게이트볼장,농구장,배드민턴장,테니스장,다목적운동장,X-게임장",032-453-2850
논현포대공원,"인천광역시 남동구 논현동 578-1,648-1,644-1","게이트볼장,농구장,배드민턴장,테니스장,다목적운동장,X-게임장",032-453-2850
돌골공원,인천광역시 남동구 만수동822-31,"배드민턴장,야외운동기구",032-453-2850
주적체육공원,인천광역시 남동구 남동구 도림동 413-1일원,"야구장,배드민턴장,테니스장,농구장",032-453-2850
자유공원,인천광역시 중구 송학동 1가 11-1,"배드민턴장,게이트볼장",032-760-7584
하늘체육공원,인천광역시 중구 중산동 1878-3 일원,"축구장,풋살장,농구장,트랙,배드민턴장",032-760-7778
하늘체육공원,인천광역시 중구 중산동 1878-3 일원,"축구장,풋살장,농구장,트랙,배드민턴장",032-760-7778
1호,인천광역시 중구 운북동 2-1잡 일원,"풋살장,인라인장(X-게임장),농구장",032-760-7778
2호,인천광역시 중구 운북동 194-4과 일원,"농구장,배드민턴장,야외운동기구",032-760-7778
8호,인천광역시 중구 운북동 산90-4임 일원,"농구장,배드민턴장",032-760-7778
